champion_id,champion_name,pick_rate,pagerank_frequency,pagerank_association,degree_frequency,degree_association
117,Lulu,0.0476294845276092,0.009009018930831891,0.016665574006737086,166896.0,13.41691329253959
902,Milio,0.0377574736419135,0.007312908718475747,0.015703640817699704,132304.0,11.971374524864975
222,Jinx,0.0483977388437601,0.009174715321923535,0.015345004702088879,169588.0,10.768029040025667
51,Caitlyn,0.0542013123107902,0.010170205844233029,0.014645500129724742,189924.0,10.213255394055714
145,Kaisa,0.0861791847600261,0.015615745803521056,0.014297017968798363,301976.0,10.09938737370037
115,Ziggs,0.0178273813600726,0.003908104748743515,0.01403357751334186,62468.0,10.88201772519625
131,Diana,0.0591190531636552,0.010863774789934418,0.01210937935105429,207156.0,8.4366466214679
61,Orianna,0.0434411857371816,0.0082371326231148,0.011997589026805524,152220.0,8.683868205626688
267,Nami,0.0757501038798555,0.01378294559577954,0.011991317604292024,265432.0,8.139253226548503
21,MissFortune,0.0641737784413912,0.011869544409332567,0.011721575728107284,224868.0,8.140380277125102
30,Karthus,0.0174620895604169,0.0038269685524950606,0.011222097978476862,61188.0,8.80495920098887
350,Yuumi,0.0159461285918457,0.0036056066892987365,0.011143229800746666,55876.0,9.12558907150471
236,Lucian,0.05417505696269,0.010105795844944839,0.011028218061157669,189832.0,8.409640818103044
157,Yasuo,0.0557811993443012,0.010359395731683338,0.010908327617042704,195460.0,7.669006212170293
202,Jhin,0.0645550517572818,0.011936344702152686,0.010817982045537106,226204.0,7.561438007781247
111,Nautilus,0.0592743021785089,0.010960098145460652,0.010774001223956269,207700.0,8.512518547479473
166,Akshan,0.0248706638721844,0.005110976643727116,0.010697646410701266,87148.0,8.441558392548064
526,Rell,0.0295897773089866,0.005900548266950539,0.010602093824818097,103684.0,8.315889658183359
901,Smolder,0.0519524846691597,0.00977762567320377,0.01007236926309099,182044.0,6.907680343899536
777,Yone,0.0396695479057364,0.0076302497545221995,0.010027724644617786,139004.0,7.592151386896616
76,Nidalee,0.0271388976406715,0.005451323622687511,0.009967926942184522,95096.0,7.6968771621559755
22,Ashe,0.0437505422300151,0.008377150573862862,0.009965976227031725,153304.0,7.1617573157343495
119,Draven,0.0303397670351547,0.006067144126421807,0.009871271643574299,106312.0,7.503642347698439
18,Tristana,0.0453190138947868,0.008630249858425424,0.009830375093730815,158800.0,7.445507792631837
68,Rumble,0.0239836897211453,0.004906136497417506,0.009795777765721537,84040.0,7.698295839175103
804,Yunara,0.0560654420259083,0.010445032964266299,0.009675478754050146,196456.0,7.440861937379283
29,Twitch,0.0299699090880033,0.006008481438087209,0.00965588885813758,105016.0,7.3957882535758515
235,Senna,0.0243695291845317,0.005051898027491248,0.009566242851019043,85392.0,6.9208452643081095
64,LeeSin,0.0462916033113701,0.008709725309661546,0.0094609824531521,162208.0,6.863742421879375
12,Alistar,0.0333751135829189,0.006544773381272853,0.009387329936979091,116948.0,7.1811011992360685
15,Sivir,0.038065688597873,0.0073953385825045615,0.00938387007631813,133384.0,7.11507156361595
201,Braum,0.0411010351456372,0.007862118661561312,0.009240106418467115,144020.0,6.88993302025065
59,JarvanIV,0.0452391063136121,0.008534229364586237,0.009217834758251433,158520.0,6.573127372820567
234,Viego,0.0499707766560275,0.009349699898242322,0.008887869600198856,175100.0,5.913507208059299
89,Leona,0.0347929023803326,0.006800531323465808,0.008886806930486255,121916.0,6.874280978360959
42,Corki,0.0317449989269553,0.006288789839758013,0.008880124120886942,111236.0,6.774912611321251
523,Aphelios,0.0480735423715656,0.009091370037834402,0.008808434231755004,168452.0,6.6903789590170275
360,Samira,0.0165237462500513,0.0037095545296632047,0.008781634290051693,57900.0,7.052383489962611
37,Sona,0.033088587827564,0.006516358102880248,0.008636170708526713,115944.0,6.254425467533287
81,Ezreal,0.0534878517645877,0.01001238543890632,0.00854972566781778,187424.0,6.14660061972816
518,Neeko,0.0247759163116487,0.005065222873670707,0.008548443196687502,86816.0,6.2575532663925975
412,Thresh,0.0473258357191454,0.008943053353276808,0.008492840260874475,165832.0,6.277051801312873
121,Khazix,0.0333328767185837,0.006523168358834296,0.008386086858023596,116800.0,5.871361187618912
497,Rakan,0.0343282968726455,0.006725518164733347,0.008379807898121065,120288.0,6.2197980121292735
104,Graves,0.0218809787993771,0.004584008628247954,0.007734382184463995,76672.0,5.428709407757685
432,Bard,0.053031237015018,0.009886199305974395,0.007610029889242582,185824.0,5.344853683577693
107,Rengar,0.0275875216321237,0.0055543648589908455,0.007497346818350496,96668.0,5.298322218816955
245,Ekko,0.0542013123107902,0.010058675025547862,0.0073167974178781035,189924.0,4.869937051634267
555,Pyke,0.0322495582252297,0.00637258703168669,0.007315547288746188,113004.0,5.482875327781532
120,Hecarim,0.0237679392519737,0.004900398217872391,0.007307560595760612,83284.0,5.186070610417333
67,Vayne,0.044248252307046,0.008437621878822334,0.0072417331703154425,155048.0,5.3088562672022395
800,Mel,0.0450359127500536,0.00853370168741767,0.0071901097898376225,157808.0,4.632629132273269
16,Soraka,0.0245259197362593,0.005061698318627063,0.007125122131750471,85940.0,5.201310352536534
221,Zeri,0.020770263421049,0.004435079269237446,0.007053126360347857,72780.0,5.63032083050112
5,XinZhao,0.0215739053802915,0.004524667823557771,0.00695040533995223,75596.0,5.014709671408219
40,Janna,0.043240275247371,0.008227879161838713,0.006937017181391778,151516.0,4.9096644598176615
429,Kalista,0.0078594813769674,0.002230396574213935,0.006923344567773927,27540.0,5.055766648519562
60,Elise,0.0315440884371446,0.006208033990281954,0.00682123949050775,110532.0,4.887606316811297
147,Seraphine,0.0231172632338369,0.004812412216022291,0.006795797277224392,81004.0,4.869548531595602
99,Lux,0.028245046871504,0.005688703624929107,0.006649214924353421,98972.0,4.495332035611192
43,Karma,0.057197846604841,0.010594482080336226,0.00650363666518736,200424.0,4.39259468446032
103,Ahri,0.0411820842636858,0.007870645738015776,0.006361793521162435,144304.0,4.144028090609549
897,KSante,0.0280213056442149,0.0056001766551752406,0.006345472166821942,98188.0,4.628494997701733
895,Nilah,0.0092772701743811,0.002471978153134662,0.0062790595625602545,32508.0,4.560870811217883
427,Ivern,0.01329433843372,0.003122934029916451,0.006124624505606249,46584.0,4.512211743398964
163,Taliyah,0.0275692570421409,0.0055365789874057235,0.006097326721856955,96604.0,4.297655984388337
3,Galio,0.0248044547334968,0.0050816409766084305,0.006019064360628433,86916.0,3.9865144042163148
887,Gwen,0.0335931471258384,0.006547205053635293,0.005978636633750283,117712.0,4.414086818053704
